
2015-12-17 07:50:23 ; Chrome; 77.121.11.4; user:polt73 login Sucses 
2015-12-17 08:12:56 ; Chrome; 93.183.206.110; user:Summ62 login Sucses 
2015-12-17 08:18:31 ; Firefox; 80.91.187.186; user:anton login Sucses 
2015-12-17 08:52:14 ; Firefox; 185.67.0.189; user:ivanov login Sucses 
2015-12-17 09:57:50 ; Firefox; 80.91.187.186; user:test_manager login Sucses 
2015-12-17 10:22:06 ; Firefox; 80.91.187.186; user:test login Sucses 
2015-12-17 10:30:23 ; Firefox; 80.91.187.186; user:temp_manager bad login 
2015-12-17 10:30:23 ; Firefox; 80.91.187.186; user: temp_manager login failed 
2015-12-17 10:30:37 ; Firefox; 80.91.187.186; user:test_manager login Sucses 
2015-12-17 10:50:24 ; Firefox; 80.91.187.186; user:anton login Sucses 
2015-12-17 11:13:44 ; Firefox; 80.91.187.186; user:test_manager login Sucses 
2015-12-17 11:15:45 ; Firefox; 80.91.187.186; user:gap login Sucses 
2015-12-17 11:18:31 ; Firefox; 185.67.0.189; user:vas login Sucses 
2015-12-17 11:29:09 ; Firefox; 80.91.187.186; user:m323 login Sucses 
2015-12-17 12:00:19 ; Firefox; 185.67.0.189; user:ivanov login Sucses 
2015-12-17 12:03:11 ; Firefox; 185.67.0.189; user:ivanov login Sucses 
2015-12-17 13:27:22 ; Firefox; 94.100.216.178; user:test_manager login Sucses 
2015-12-17 13:28:13 ; Firefox; 94.100.216.178; user:test_manager login Sucses 
2015-12-17 13:28:32 ; Firefox; 94.100.216.178; user:anton login Sucses 
2015-12-17 13:30:41 ; Firefox; 94.100.216.178; user:test_manager login Sucses 
2015-12-17 15:25:22 ; Firefox; 185.67.0.189; user:ivanov login Sucses 
2015-12-17 15:45:25 ; Firefox; 185.67.0.189; user:ivanov login Sucses 
2015-12-17 17:13:16 ; Firefox; 94.100.216.178; user:anton login Sucses 
2015-12-18 07:45:44 ; Chrome; 77.121.11.4; user:polt73 login Sucses 
2015-12-18 08:29:34 ; Firefox; 80.91.187.186; user:anton login Sucses 
2015-12-18 08:32:48 ; Firefox; 80.91.187.186; user: bad login 
2015-12-18 08:32:48 ; Firefox; 80.91.187.186; user:  login failed 
